"site","block","plot","flood","clone","div","pdiv","herbivory","nlvs","error","alive","a_div","norm","hnorm"
"mogi","2","12",0,1,2,0.5,9,33,17.6588569073065,33.3333333333333,1.18181818181818,0.333333333333333,0.439655172413793
"mogi","2","2",0,1,4,1,2.4375,61,16.2818582202347,66.6666666666667,1.34426229508197,0.777777777777778,0.100215517241379
"mogi","2","3",0,1,1,0.25,3.27777777777778,118,7.95434604693138,75,1.16101694915254,0.888888888888889,0.14367816091954
"mogi","2","5",0,0,2,0.5,2.125,28,4.520968197096,33.3333333333333,1.10714285714286,0.333333333333333,0.084051724137931
"mogi","2","6",0,1,1,0.25,3.41666666666667,44,11.588614373025,50,1.13636363636364,0.555555555555555,0.150862068965517
"mogi","2","7",0,0,4,1,5.4,161,20.1869311546107,41.6666666666667,1.12422360248447,0.444444444444444,0.253448275862069
"mogi","2","8",0,0,1,0.25,1.75,121,13.7943225036003,66.6666666666667,1.13223140495868,0.777777777777778,0.0646551724137931
"mogi","2","9",0,0,1,0.25,1,24,4.51085646933667,33.3333333333333,1,0.333333333333333,0.0258620689655172
"mogi","3","10",0,0,1,0.25,6,9,9.5277372853043,16.6666666666667,1.22222222222222,0.111111111111111,0.28448275862069
"mogi","3","11",0,1,2,0.5,1,19,6.37337297205614,33.3333333333333,1,0.333333333333333,0.0258620689655172
"mogi","3","12",0,1,1,0.25,11.75,32,23.2093383597373,33.3333333333333,1.1875,0.333333333333333,0.581896551724138
"mogi","3","2",0,1,4,1,0.875,27,15.68692997625,33.3333333333333,1.11111111111111,0.333333333333333,0.0193965517241379
"mogi","3","3",0,0,1,0.25,0.5,32,3.86972846425906,33.3333333333333,1.03125,0.333333333333333,0
"mogi","3","4",0,0,1,0.25,2.16666666666667,54,17.9231315429163,50,1.05555555555556,0.555555555555555,0.0862068965517241
"mogi","3","5",0,1,1,0.25,1.6875,73,9.57160787543852,66.6666666666667,1.16438356164384,0.777777777777778,0.0614224137931035
"mogi","3","6",0,0,2,0.5,1.1,55,9.3369401400272,41.6666666666667,1.09090909090909,0.444444444444444,0.0310344827586207
"mogi","3","7",0,0,1,0.25,10,3,23.629078131263,8.33333333333333,1.33333333333333,0,0.491379310344828
"mogi","3","8",0,1,1,0.25,4.125,50,26.2349587616312,33.3333333333333,1.16,0.333333333333333,0.1875
"mogi","3","9",0,0,4,1,13.6666666666667,36,17.4090607680425,50,1.19444444444444,0.555555555555555,0.681034482758621
"peru","none","1",1,1,6,1,15.5,14,24.3765391173698,8.33333333333333,2.28571428571429,0,0.303030303030303
"peru","none","10",1,1,2,0.333333333333333,1,16,1.85264450628464,25,1,0.666666666666667,0.0101010101010101
"peru","none","12",1,1,2,0.333333333333333,11,24,15.9963764012671,16.6666666666667,1.75,0.333333333333333,0.212121212121212
"peru","none","16",0,1,2,0.333333333333333,1,5,33.3511618988005,8.33333333333333,1.6,0,0.0101010101010101
"peru","none","17",0,1,2,0.333333333333333,18,35,16.0878888629685,8.33333333333333,2.42857142857143,0,0.353535353535354
"peru","none","18",0,1,2,0.333333333333333,27.1666666666667,54,22.9728442367732,25,1.44444444444444,0.666666666666667,0.538720538720539
"peru","none","2",1,1,6,1,1,3,0.763762615825973,8.33333333333333,1,0,0.0101010101010101
"peru","none","26",1,1,1,0.166666666666667,3.5,3,8.08290376865476,16.6666666666667,1,0.333333333333333,0.0606060606060606
"peru","none","27",1,1,1,0.166666666666667,50,1,18.1464012683766,8.33333333333333,1,0,1
"peru","none","29",1,1,1,0.166666666666667,3,6,2.42212028327799,16.6666666666667,1.33333333333333,0.333333333333333,0.0505050505050505
"peru","none","3",1,1,6,1,0.8,57,13.6053051995879,8.33333333333333,1.29824561403509,0,0.00606060606060606
"peru","none","30",1,1,1,0.166666666666667,3,6,7.5476265585061,8.33333333333333,1.33333333333333,0,0.0505050505050505
"peru","none","4",0,1,6,1,14.3,41,19.1907055501405,16.6666666666667,1.82926829268293,0.333333333333333,0.278787878787879
"peru","none","5",0,1,6,1,0.5,15,2.83389350204844,8.33333333333333,1,0,0
"peru","none","6",0,1,6,1,14.75,29,25.0480051416546,33.3333333333333,1.41379310344828,1,0.287878787878788
"peru","none","7",1,0,2,0.333333333333333,1.25,40,11.9091041989107,16.6666666666667,1.3,0.333333333333333,0.0151515151515152
"peru","none","9",1,0,2,0.333333333333333,11.3,84,15.7957415265292,33.3333333333333,1.47619047619048,1,0.218181818181818
